zscale-x,zscale-y,zscale-z,min_n,max_n,min_r,max_r,valid_gap,dist_sum,dtw_thv
0.359588,-0.311926,0,,,,,,,
0.334148,-0.316804,0,,,,,,,
0.308631,-0.321378,0,,,,,,,
0.283028,-0.325637,0,,,,,,,
0.257333,-0.32957,0,,,,,,,
0.231539,-0.333161,0,,,,,,,
0.205643,-0.336392,0,,,,,,,
0.179642,-0.339246,0,,,,,,,
0.153536,-0.341703,0,,,,,,,
0.127327,-0.343745,0,,,,,,,
0.101021,-0.345355,0,,,,,,,
0.074624,-0.346519,0,,,,,,,
0.048146,-0.347225,0,,,,,,,
0.021601,-0.347467,0,,,,,,,
-0.004997,-0.347241,0,,,,,,,
-0.031631,-0.346547,0,,,,,,,
-0.058285,-0.345391,0,,,,,,,
-0.084938,-0.343783,0,,,,,,,
-0.111571,-0.341733,0,,,,,,,
-0.138165,-0.339259,0,,,,,,,
-0.164701,-0.336378,0,,,,,,,
-0.191163,-0.333109,0,,,,,,,
-0.217535,-0.329472,0,,,,,,,
-0.243804,-0.325484,0,,,,,,,
-0.269959,-0.321165,0,,,,,,,
-0.295991,-0.316528,0,,,,,,,
-0.321898,-0.311584,0,,,,,,,
-0.347677,-0.306343,0,,,,,,,
-0.373328,-0.300806,0,,,,,,,
-0.398857,-0.294974,0,,,,,,,
-0.42427,-0.288841,0,,,,,,,
-0.449573,-0.282398,0,,,,,,,
-0.474777,-0.275632,0,,,,,,,
-0.499891,-0.268529,0,,,,,,,
-0.524924,-0.261071,0,,,,,,,
-0.549885,-0.253241,0,,,,,,,
-0.57478,-0.245021,0,,,,,,,
-0.599612,-0.236397,0,,,,,,,
-0.624383,-0.227355,0,,,,,,,
-0.64909,-0.217887,0,,,,,,,
-0.673724,-0.207988,0,,,,,,,
-0.698276,-0.19766,0,,,,,,,
-0.722728,-0.186909,0,,,,,,,
-0.747062,-0.175748,0,,,,,,,
-0.771254,-0.164194,0,,,,,,,
-0.795276,-0.15227,0,,,,,,,
-0.8191,-0.140003,0,,,,,,,
-0.842695,-0.127421,0,,,,,,,
-0.86603,-0.114553,0,,,,,,,
-0.889074,-0.10143,0,,,,,,,
-0.9118,-0.088078,0,,,,,,,
-0.934182,-0.074518,0,,,,,,,
-0.9562,-0.060769,0,,,,,,,
-0.977839,-0.046838,0,,,,,,,
-0.999088,-0.032726,0,,,,,,,
-1.019946,-0.018422,0,,,,,,,
